team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Tulsa,2016,10-3,10,3,0,42.5,29.8,5.12,4.36,3449.0,3252.0,6.15,5.47,29.698666666666668,30.301333333333332,46.19,37.12,60.0,53.13,80.8,90.0,0.7692307692307693,12.7,0.7599999999999998,9.07
Tulsa,2017,2-10,2,10,0,29.3,37.5,5.01,5.86,2077.0,3167.0,5.71,7.31,28.0195,31.9805,43.68,44.59,60.87,47.06,75.0,84.2,0.1666666666666666,-8.2,-0.8500000000000005,-0.9100000000000036
Tulsa,2018,3-9,3,9,0,24.1,29.6,4.13,5.0,2125.0,2095.0,5.04,5.63,29.1945,30.8055,43.0,45.76,58.06,36.36,57.1,90.5,0.25,-5.5,-0.8700000000000001,-2.759999999999998
Tulsa,2019,4-8,4,8,0,25.9,31.3,3.3,4.48,3376.0,2516.0,5.32,5.67,30.654166666666665,29.345833333333335,42.93,34.08,56.52,67.74,62.5,82.4,0.3333333333333333,-5.400000000000002,-1.1800000000000006,8.850000000000001
Tulsa,2020,6-3,6,3,0,27.1,21.6,3.99,3.61,2275.0,1706.0,5.58,4.7,28.713,31.287,41.73,32.85,52.94,50.0,75.0,68.2,0.6666666666666666,5.5,0.3800000000000003,8.879999999999995
Tulsa,2021,7-6,7,6,0,26.4,26.6,4.55,3.88,3244.0,2957.0,5.98,5.44,30.834666666666667,30.319166666666668,38.62,38.67,47.37,47.83,95.7,65.4,0.5384615384615384,-0.2000000000000028,0.6699999999999999,-0.0500000000000042
Tulsa,2022,5-7,5,7,0,30.6,33.1,3.88,4.91,3278.0,2476.0,5.86,5.88,28.891666666666666,31.108333333333334,39.64,36.67,64.71,58.33,81.0,78.6,0.4166666666666667,-2.5,-1.0300000000000002,2.969999999999999
Tulsa,2023,4-8,4,8,0,23.4,33.8,4.12,4.68,2456.0,3358.0,5.37,6.58,29.668,30.332,44.62,40.0,43.75,62.5,85.0,75.0,0.3333333333333333,-10.4,-0.5599999999999996,4.619999999999997
Tulsa,2024,3-9,3,9,0,25.0,42.5,4.02,4.85,2863.0,3792.0,5.26,7.07,29.727833333333333,30.2445,36.73,43.13,32.26,50.0,66.7,53.8,0.25,-17.5,-0.8300000000000001,-6.400000000000006
Tulsa,2025,3-7,3,7,0,22.8,29.1,4.1,4.28,2243.0,2341.0,5.14,5.64,29.268333333333334,30.731666666666666,37.2,41.83,58.33,52.0,82.4,100.0,0.3,-6.300000000000001,-0.1800000000000006,-4.6299999999999955
Florida,2016,9-4,9,4,0,23.9,16.8,3.69,3.84,2805.0,1931.0,5.19,4.66,31.219166666666663,28.780833333333337,41.67,34.81,46.67,25.0,84.0,66.7,0.6923076923076923,7.099999999999998,-0.1499999999999999,6.859999999999999
Florida,2017,4-7,4,7,0,22.1,27.3,4.3,4.23,1975.0,2149.0,5.19,5.73,31.053,28.947,32.48,33.09,66.67,71.43,94.4,66.7,0.3636363636363636,-5.199999999999999,0.0699999999999994,-0.6100000000000065
Florida,2018,10-3,10,3,0,35.0,20.0,5.27,4.29,2776.0,2350.0,6.23,5.12,29.933333333333337,30.056333333333335,41.62,37.44,55.0,39.13,90.0,73.9,0.7692307692307693,15.0,0.9799999999999996,4.18
Florida,2019,11-2,11,2,0,33.2,15.5,4.24,3.19,3910.0,2627.0,6.47,4.9,29.959,29.741,41.14,36.41,61.54,30.0,89.5,65.0,0.8461538461538461,17.700000000000003,1.0500000000000005,4.730000000000004
Florida,2020,8-4,8,4,0,39.8,30.8,4.29,4.56,4543.0,3090.0,7.28,6.06,30.501333333333335,29.498666666666665,50.0,41.07,58.33,65.22,79.2,85.7,0.6666666666666666,8.999999999999996,-0.2699999999999996,8.93
Florida,2021,6-7,6,7,0,30.7,26.8,5.48,4.46,3304.0,2651.0,6.6,5.48,30.487166666666667,28.741,41.38,35.23,56.0,45.0,66.7,69.6,0.4615384615384615,3.8999999999999986,1.0200000000000005,6.150000000000006
Florida,2022,6-7,6,7,0,29.5,28.8,5.51,4.49,2910.0,3065.0,6.58,5.92,29.043666666666667,30.9475,40.48,49.71,46.88,43.48,66.7,77.8,0.4615384615384615,0.6999999999999993,1.0199999999999996,-9.230000000000004
Florida,2023,5-7,5,7,0,28.4,27.6,4.27,4.84,3111.0,2720.0,6.05,6.44,33.101333333333336,26.898666666666667,36.91,35.62,40.91,30.77,75.0,85.0,0.4166666666666667,0.7999999999999972,-0.5700000000000003,1.2899999999999991
Florida,2024,8-5,8,5,0,28.3,23.1,4.55,3.79,2934.0,2957.0,6.26,5.25,28.573,31.383333333333333,37.89,39.67,46.67,51.72,85.7,66.7,0.6153846153846154,5.199999999999999,0.7599999999999998,-1.7800000000000011
Florida,2025,3-7,3,7,0,20.8,23.6,3.96,3.82,2171.0,2231.0,5.29,5.55,29.835,30.165,33.85,41.67,37.5,66.67,83.3,81.3,0.3,-2.8000000000000007,0.1400000000000001,-7.82
Virginia,2016,2-10,2,10,0,22.5,33.8,3.55,4.7,2872.0,3079.0,4.86,6.33,29.007,30.993,34.62,43.35,52.17,53.33,50.0,76.2,0.1666666666666666,-11.299999999999995,-1.1500000000000004,-8.730000000000004
Virginia,2017,6-7,6,7,0,22.5,28.4,3.13,4.65,3233.0,2155.0,4.9,5.4,30.466666666666665,29.533333333333335,39.23,36.7,39.29,57.69,66.7,64.3,0.4615384615384615,-5.899999999999999,-1.5200000000000005,2.529999999999994
Virginia,2018,8-5,8,5,0,28.5,20.1,4.51,4.34,2751.0,2379.0,5.84,5.27,32.56033333333333,27.439666666666668,49.12,40.33,61.54,43.48,68.2,76.2,0.6153846153846154,8.399999999999999,0.1699999999999999,8.79
Virginia,2019,9-5,9,5,0,32.1,27.1,3.84,3.89,3748.0,3272.0,5.66,5.75,33.05716666666667,26.942833333333333,45.32,36.02,56.25,52.0,83.3,71.4,0.6428571428571429,5.0,-0.0500000000000002,9.299999999999995
Virginia,2020,5-5,5,5,0,30.7,29.6,4.45,3.74,2606.0,3044.0,5.68,6.39,31.063333333333333,28.936666666666667,37.06,41.67,64.0,33.33,76.9,82.6,0.5,1.099999999999998,0.71,-4.609999999999999
Virginia,2021,6-6,6,6,0,34.6,31.8,4.38,5.79,4711.0,2882.0,6.95,6.63,30.643,29.288833333333333,45.91,40.99,42.11,63.16,78.9,65.2,0.5,2.8000000000000007,-1.41,4.919999999999995
Virginia,2022,3-7,3,7,0,17.0,24.0,3.74,3.76,2210.0,2044.0,5.13,4.97,27.568333333333335,32.431666666666665,32.12,36.6,38.89,57.14,61.1,82.6,0.3,-7.0,-0.0199999999999995,-4.480000000000004
Virginia,2023,3-9,3,9,0,23.3,33.8,3.12,5.1,3010.0,2697.0,5.21,6.05,31.409666666666663,28.590333333333337,36.07,40.37,60.0,57.89,85.7,85.0,0.25,-10.499999999999996,-1.9799999999999995,-4.299999999999997
Virginia,2024,5-7,5,7,0,22.7,28.8,3.66,4.13,2748.0,3157.0,5.2,6.02,29.897166666666667,30.101333333333333,34.25,38.55,51.72,62.5,85.7,74.1,0.4166666666666667,-6.100000000000001,-0.4699999999999997,-4.299999999999997
Virginia,2025,9-2,9,2,0,33.7,21.2,4.8,3.3,2751.0,2363.0,5.96,5.02,31.9015,28.0985,49.16,28.48,45.83,58.33,81.8,71.4,0.8181818181818182,12.500000000000004,1.5,20.679999999999996
Duke,2016,4-8,4,8,0,23.3,28.2,3.89,4.48,2877.0,2877.0,5.15,6.29,31.425,28.575,43.01,39.66,37.5,25.0,30.0,76.5,0.3333333333333333,-4.899999999999999,-0.5900000000000003,3.3500000000000014
Duke,2017,7-6,7,6,0,26.5,20.2,4.07,4.0,2774.0,2332.0,4.92,5.22,31.3795,28.6205,39.23,32.02,62.96,22.22,81.8,69.2,0.5384615384615384,6.300000000000001,0.0700000000000002,7.209999999999994
Duke,2018,8-5,8,5,0,29.4,27.4,4.32,4.98,3199.0,2593.0,5.52,5.51,27.827,32.168,42.44,40.0,42.86,44.0,69.2,46.7,0.6153846153846154,2.0,-0.6600000000000001,2.4399999999999977
Duke,2019,5-7,5,7,0,25.3,29.2,3.64,4.34,2152.0,2388.0,4.53,5.35,29.025,30.975,33.16,37.16,60.61,52.38,83.3,85.0,0.4166666666666667,-3.8999999999999986,-0.6999999999999997,-4.0
Duke,2020,2-9,2,9,0,24.8,38.1,3.94,5.08,2449.0,2548.0,5.03,6.25,28.566666666666663,31.433333333333337,38.69,41.29,47.83,66.67,86.7,76.9,0.1818181818181818,-13.3,-1.14,-2.6000000000000014
Duke,2021,3-9,3,9,0,22.8,39.8,4.13,5.28,2855.0,3741.0,5.38,7.11,29.309666666666665,30.690333333333335,42.36,48.55,37.93,75.0,66.7,87.0,0.25,-16.999999999999996,-1.1500000000000004,-6.189999999999998
Duke,2022,9-4,9,4,0,32.8,22.1,4.95,3.69,3010.0,3345.0,6.11,5.52,33.119166666666665,26.880833333333335,41.86,43.02,58.33,42.31,70.8,80.0,0.6923076923076923,10.699999999999996,1.2600000000000002,-1.1600000000000037
Duke,2023,8-5,8,5,0,26.9,19.0,4.85,3.9,2351.0,2740.0,5.62,5.15,28.993666666666662,31.006333333333338,36.81,38.25,60.0,39.29,78.3,73.1,0.6153846153846154,7.899999999999999,0.9499999999999996,-1.4399999999999975
Duke,2024,9-4,9,4,0,26.3,24.5,3.15,3.75,3176.0,2775.0,5.16,5.01,27.394833333333334,32.35633333333333,29.55,33.83,36.84,60.87,75.0,73.1,0.6923076923076923,1.8000000000000007,-0.6000000000000001,-4.279999999999998
Duke,2025,5-5,5,5,0,33.4,29.6,4.43,4.08,3029.0,2733.0,6.61,6.24,27.77,32.185,39.67,44.36,73.91,60.0,68.8,86.7,0.5,3.799999999999997,0.3499999999999996,-4.689999999999998
Temple,2016,10-4,10,4,0,32.4,18.4,4.37,3.58,3324.0,2130.0,5.99,4.64,33.541666666666664,26.458333333333332,41.58,34.52,43.48,50.0,86.2,62.5,0.7142857142857143,14.0,0.79,7.059999999999995
Temple,2017,7-6,7,6,0,25.1,25.8,3.85,4.27,3273.0,2689.0,5.52,5.4,30.385833333333338,29.614166666666662,41.41,38.34,50.0,47.83,67.9,62.1,0.5384615384615384,-0.6999999999999993,-0.4199999999999995,3.069999999999993
Temple,2018,8-5,8,5,0,34.9,27.1,4.1,4.03,3297.0,2436.0,5.68,4.67,28.568,31.432,38.92,42.13,48.15,57.14,66.7,60.0,0.6153846153846154,7.799999999999997,0.0699999999999994,-3.210000000000001
Temple,2019,8-5,8,5,0,26.3,25.9,3.72,3.82,3312.0,2846.0,5.36,4.93,29.259,30.741,37.81,37.91,41.67,50.0,73.3,58.8,0.6153846153846154,0.4000000000000021,-0.0999999999999996,-0.0999999999999943
Temple,2020,1-6,1,6,0,19.9,37.1,3.46,4.82,1456.0,1571.0,4.65,6.41,32.273833333333336,27.726166666666668,37.93,43.96,57.14,90.91,81.8,57.1,0.1428571428571428,-17.200000000000003,-1.3600000000000003,-6.030000000000001
Temple,2021,3-9,3,9,0,16.3,37.5,3.65,4.77,2126.0,2135.0,4.75,5.56,27.1445,32.44866666666667,27.92,42.07,44.0,80.0,56.3,80.0,0.25,-21.2,-1.1199999999999997,-14.15
Temple,2022,3-9,3,9,0,21.9,29.3,3.11,4.57,3217.0,2383.0,5.24,5.64,27.0445,32.9555,32.95,36.63,42.42,50.0,81.3,63.6,0.25,-7.400000000000002,-1.4600000000000004,-3.68
Temple,2023,3-9,3,9,0,21.1,35.7,3.47,4.64,3320.0,2919.0,5.33,6.3,28.3625,31.6375,38.15,46.99,51.11,61.11,58.3,80.0,0.25,-14.6,-1.1699999999999997,-8.840000000000003
Temple,2024,3-9,3,9,0,19.6,35.4,2.88,5.54,2592.0,2300.0,4.65,6.09,30.2,29.7625,32.07,36.59,41.67,42.86,72.7,75.0,0.25,-15.799999999999995,-2.66,-4.520000000000003
Temple,2025,5-5,5,5,0,29.6,26.7,4.56,4.96,2041.0,1797.0,5.81,5.77,30.45,29.5,37.8,39.68,80.0,72.73,76.9,87.5,0.5,2.900000000000002,-0.4000000000000003,-1.8800000000000023
Auburn,2016,8-5,8,5,0,31.2,17.1,5.47,3.74,2203.0,2979.0,6.13,5.07,29.180833333333332,30.819166666666668,41.76,34.83,47.62,52.17,87.5,75.0,0.6153846153846154,14.099999999999998,1.7299999999999995,6.93
Auburn,2017,10-4,10,4,0,33.9,18.5,4.76,3.63,3267.0,2553.0,6.17,4.67,31.360666666666667,28.639333333333333,45.45,32.88,46.67,46.67,74.2,70.0,0.7142857142857143,15.4,1.13,12.57
Auburn,2018,8-5,8,5,0,30.9,19.2,4.25,3.72,2892.0,2853.0,5.67,5.15,28.346166666666665,31.524333333333335,36.87,34.69,50.0,38.1,57.7,73.3,0.6153846153846154,11.7,0.5299999999999998,2.1799999999999997
Auburn,2019,9-4,9,4,0,33.2,19.5,4.71,3.54,2697.0,2780.0,5.58,4.84,29.628166666666665,30.371833333333335,40.53,29.9,46.67,40.0,72.0,61.1,0.6923076923076923,13.700000000000005,1.17,10.630000000000004
Auburn,2020,6-5,6,5,0,25.1,24.7,4.56,4.18,2423.0,2669.0,5.58,5.62,28.727333333333338,31.0985,44.94,50.31,27.27,46.67,90.9,57.1,0.5454545454545454,0.4000000000000021,0.3799999999999999,-5.3700000000000045
Auburn,2021,6-7,6,7,0,28.3,21.8,4.73,3.51,3121.0,3195.0,5.81,5.27,29.056333333333335,30.943666666666665,40.44,36.02,56.52,37.04,70.4,79.2,0.4615384615384615,6.5,1.2200000000000006,4.419999999999995
Auburn,2022,5-7,5,7,0,24.8,29.5,5.06,4.64,2072.0,2671.0,5.7,5.52,30.232,29.768,35.96,42.46,59.09,50.0,75.0,73.7,0.4166666666666667,-4.699999999999999,0.4199999999999999,-6.5
Auburn,2023,6-7,6,7,0,26.2,22.6,4.79,4.35,2109.0,2628.0,5.5,5.65,29.143666666666668,30.855166666666666,32.93,31.71,50.0,55.56,100.0,70.0,0.4615384615384615,3.599999999999998,0.4400000000000004,1.2199999999999989
Auburn,2024,5-7,5,7,0,27.8,21.3,4.92,3.08,3167.0,2556.0,6.67,4.88,27.2305,31.936166666666665,41.78,39.67,47.37,52.63,54.5,59.1,0.4166666666666667,6.5,1.84,2.109999999999999
Auburn,2025,4-6,4,6,0,23.9,20.4,4.37,2.72,1836.0,2413.0,5.15,5.14,30.495,29.126666666666665,36.76,35.82,50.0,61.11,76.2,78.9,0.4,3.5,1.65,0.9399999999999976
